Date,Open,High,Low,Close,Adj Close,Volume
04/01/88,256.019989,256.019989,256.019989,256.019989,256.019989,0
05/01/88,258.769989,258.769989,258.769989,258.769989,258.769989,0
06/01/88,259.029999,259.029999,259.029999,259.029999,259.029999,0
07/01/88,261.209991,261.209991,261.209991,261.209991,261.209991,0
08/01/88,243.550003,243.550003,243.550003,243.550003,243.550003,0
11/01/88,247.669998,247.669998,247.669998,247.669998,247.669998,0
12/01/88,245.600006,245.600006,245.600006,245.600006,245.600006,0
13/01/88,246.020004,246.020004,246.020004,246.020004,246.020004,0
14/01/88,246.089996,246.089996,246.089996,246.089996,246.089996,0
15/01/88,252.289993,252.289993,252.289993,252.289993,252.289993,0
18/01/88,252.119995,252.119995,252.119995,252.119995,252.119995,0
19/01/88,249.570007,249.570007,249.570007,249.570007,249.570007,0
20/01/88,242.869995,242.869995,242.869995,242.869995,242.869995,0
21/01/88,243.380005,243.380005,243.380005,243.380005,243.380005,0
22/01/88,246.75,246.75,246.75,246.75,246.75,0
25/01/88,252.509995,252.509995,252.509995,252.509995,252.509995,0
26/01/88,249.949997,249.949997,249.949997,249.949997,249.949997,0
27/01/88,249.759995,249.759995,249.759995,249.759995,249.759995,0
28/01/88,253.669998,253.669998,253.669998,253.669998,253.669998,0
29/01/88,257.470001,257.470001,257.470001,257.470001,257.470001,0
01/02/88,255.509995,255.509995,255.509995,255.509995,255.509995,0
02/02/88,256.149994,256.149994,256.149994,256.149994,256.149994,0
03/02/88,252.789993,252.789993,252.789993,252.789993,252.789993,0
04/02/88,252.970001,252.970001,252.970001,252.970001,252.970001,0
05/02/88,251.919998,251.919998,251.919998,251.919998,251.919998,0
08/02/88,250.100006,250.100006,250.100006,250.100006,250.100006,0
09/02/88,252.770004,252.770004,252.770004,252.770004,252.770004,0
10/02/88,257.76001,257.76001,257.76001,257.76001,257.76001,0
11/02/88,257.059998,257.059998,257.059998,257.059998,257.059998,0
12/02/88,258.869995,258.869995,258.869995,258.869995,258.869995,0
16/02/88,261.140015,261.140015,261.140015,261.140015,261.140015,0
17/02/88,260.540009,260.540009,260.540009,260.540009,260.540009,0
18/02/88,259.230011,259.230011,259.230011,259.230011,259.230011,0
19/02/88,262.959991,262.959991,262.959991,262.959991,262.959991,0
22/02/88,267.079987,267.079987,267.079987,267.079987,267.079987,0
23/02/88,266.480011,266.480011,266.480011,266.480011,266.480011,0
24/02/88,265.959991,265.959991,265.959991,265.959991,265.959991,0
25/02/88,263.100006,263.100006,263.100006,263.100006,263.100006,0
26/02/88,263.98999,263.98999,263.98999,263.98999,263.98999,0
29/02/88,269.480011,269.480011,269.480011,269.480011,269.480011,0
01/03/88,269.440002,269.440002,269.440002,269.440002,269.440002,0
02/03/88,269.75,269.75,269.75,269.75,269.75,0
03/03/88,269.649994,269.649994,269.649994,269.649994,269.649994,0
04/03/88,269.100006,269.100006,269.100006,269.100006,269.100006,0
07/03/88,269.220001,269.220001,269.220001,269.220001,269.220001,0
08/03/88,271.339996,271.339996,271.339996,271.339996,271.339996,0
09/03/88,271.029999,271.029999,271.029999,271.029999,271.029999,0
10/03/88,265.779999,265.779999,265.779999,265.779999,265.779999,0
11/03/88,266.899994,266.899994,266.899994,266.899994,266.899994,0
14/03/88,268.359985,268.359985,268.359985,268.359985,268.359985,0
