Date,Close
2014-09-17,457.33
2014-09-18,424.44
2014-09-19,394.8
2014-09-20,408.9
2014-09-21,398.82
2014-09-22,402.15
2014-09-23,435.79
2014-09-24,423.2
2014-09-25,411.57
2014-09-26,404.42
2014-09-27,399.52
2014-09-28,377.18
2014-09-29,375.47
2014-09-30,386.94
2014-10-01,383.61
2014-10-02,375.07
2014-10-03,359.51
2014-10-04,328.87
2014-10-05,320.51
2014-10-06,330.08
2014-10-07,336.19
2014-10-08,352.94
2014-10-09,365.03
2014-10-10,361.56
2014-10-11,362.3
2014-10-12,378.55
2014-10-13,390.41
2014-10-14,400.87
2014-10-15,394.77
2014-10-16,382.56
2014-10-17,383.76
2014-10-18,391.44
2014-10-19,389.55
2014-10-20,382.85
2014-10-21,386.48
2014-10-22,383.16
2014-10-23,358.42
2014-10-24,358.35
2014-10-25,347.27
2014-10-26,354.7
2014-10-27,352.99
2014-10-28,357.62
2014-10-29,335.59
2014-10-30,345.3
2014-10-31,338.32
2014-11-01,325.75
2014-11-02,325.89
2014-11-03,327.55
2014-11-04,330.49
2014-11-05,339.49
2014-11-06,349.29
2014-11-07,342.42
2014-11-08,345.49
2014-11-09,363.26
2014-11-10,366.92
2014-11-11,367.7
2014-11-12,423.56
2014-11-13,420.73
2014-11-14,397.82
2014-11-15,376.13
2014-11-16,387.88
2014-11-17,387.41
2014-11-18,375.2
2014-11-19,380.55
2014-11-20,357.84
2014-11-21,350.85
2014-11-22,352.92
2014-11-23,367.57
2014-11-24,376.9
2014-11-25,375.35
2014-11-26,368.37
2014-11-27,369.67
2014-11-28,376.45
2014-11-29,375.49
2014-11-30,378.05
2014-12-01,379.24
2014-12-02,381.32
2014-12-03,375.01
2014-12-04,369.6
2014-12-05,376.85
2014-12-06,374.79
2014-12-07,375.1
2014-12-08,361.91
2014-12-09,352.22
2014-12-10,346.36
2014-12-11,350.51
2014-12-12,352.54
2014-12-13,347.38
2014-12-14,351.63
2014-12-15,345.35
2014-12-16,327.06
2014-12-17,319.78
2014-12-18,311.4
2014-12-19,317.84
2014-12-20,329.96
2014-12-21,320.84
2014-12-22,331.89
2014-12-23,334.57
2014-12-24,322.53
2014-12-25,319.01
2014-12-26,327.92
2014-12-27,315.86
2014-12-28,317.24
2014-12-29,312.67
2014-12-30,310.74
2014-12-31,320.19
2015-01-01,314.25
2015-01-02,315.03
2015-01-03,281.08
2015-01-04,264.2
2015-01-05,274.47
2015-01-06,286.19
2015-01-07,294.34
2015-01-08,283.35
2015-01-09,290.41
2015-01-10,274.8
2015-01-11,265.66
2015-01-12,267.8
2015-01-13,225.86
2015-01-14,178.1
2015-01-15,209.84
2015-01-16,208.1
2015-01-17,199.26
2015-01-18,210.34
2015-01-19,214.86
2015-01-20,211.32
2015-01-21,226.9
2015-01-22,233.41
2015-01-23,232.88
2015-01-24,247.85
2015-01-25,253.72
2015-01-26,273.47
2015-01-27,263.48
2015-01-28,233.91
2015-01-29,233.51
2015-01-30,226.43
2015-01-31,217.46
2015-02-01,226.97
2015-02-02,238.23
2015-02-03,227.27
2015-02-04,226.85
2015-02-05,217.11
2015-02-06,222.27
2015-02-07,227.75
2015-02-08,223.41
2015-02-09,220.11
2015-02-10,219.84
2015-02-11,219.18
2015-02-12,221.76
2015-02-13,235.43
2015-02-14,257.32
2015-02-15,234.82
2015-02-16,233.84
2015-02-17,243.61
2015-02-18,236.33
2015-02-19,240.28
2015-02-20,243.78
2015-02-21,244.53
2015-02-22,235.98
2015-02-23,238.89
2015-02-24,238.74
2015-02-25,237.47
2015-02-26,236.43
2015-02-27,253.83
2015-02-28,254.26
2015-03-01,260.2
2015-03-02,275.67
2015-03-03,281.7
2015-03-04,273.09
2015-03-05,276.18
2015-03-06,272.72
2015-03-07,276.26
2015-03-08,274.35
2015-03-09,289.61
2015-03-10,291.76
2015-03-11,296.38
2015-03-12,294.35
2015-03-13,285.34
2015-03-14,281.89
2015-03-15,286.39
2015-03-16,290.59
2015-03-17,285.51
2015-03-18,256.3
2015-03-19,260.93
2015-03-20,261.75
2015-03-21,260.02
2015-03-22,267.96
2015-03-23,266.74
2015-03-24,245.6
2015-03-25,246.2
2015-03-26,248.53
2015-03-27,247.03
2015-03-28,252.8
2015-03-29,242.71
2015-03-30,247.53
2015-03-31,244.22
2015-04-01,247.27
2015-04-02,253.01
2015-04-03,254.32
2015-04-04,253.7
2015-04-05,260.6
2015-04-06,255.49
2015-04-07,253.18
2015-04-08,245.02
2015-04-09,243.68
2015-04-10,236.07
2015-04-11,236.55
2015-04-12,236.15
2015-04-13,224.59
2015-04-14,219.16
2015-04-15,223.83
2015-04-16,228.57
2015-04-17,222.88
2015-04-18,223.36
2015-04-19,222.6
2015-04-20,224.63
2015-04-21,235.27
